beneficiary_id,program,reporting_period,sessions_expected,sessions_attended,attendance_rate
BEN-000010,Scholarship,Q4 2025,20,13,65.0
BEN-000010,Scholarship,Q1 2026,26,14,53.8
BEN-000010,Scholarship,Q2 2026,23,19,82.6
BEN-000010,Scholarship,Q3 2026,28,13,46.4
BEN-000012,Scholarship,Q1 2026,22,21,95.5
BEN-000012,Scholarship,Q2 2026,22,17,77.3
BEN-000012,Scholarship,Q3 2026,26,14,53.8
BEN-000014,Scholarship,Q3 2026,26,14,53.8
BEN-000015,Scholarship,Q4 2025,22,22,100.0
BEN-000015,Scholarship,Q1 2026,18,10,55.6
BEN-000015,Scholarship,Q2 2026,28,25,89.3
BEN-000015,Scholarship,Q3 2026,20,9,45.0
BEN-000018,Scholarship,Q2 2026,28,23,82.1
BEN-000018,Scholarship,Q3 2026,21,7,33.3
BEN-000031,Scholarship,Q1 2026,27,25,92.6
BEN-000031,Scholarship,Q2 2026,26,18,69.2
BEN-000031,Scholarship,Q3 2026,22,8,36.4
BEN-000032,Scholarship,Q2 2026,21,17,81.0
BEN-000032,Scholarship,Q3 2026,27,9,33.3
BEN-000038,Scholarship,Q3 2026,24,12,50.0
BEN-000042,Scholarship,Q3 2026,27,12,44.4
BEN-000045,Scholarship,Q1 2026,18,12,66.7
BEN-000045,Scholarship,Q2 2026,23,16,69.6
BEN-000045,Scholarship,Q3 2026,22,10,45.5
BEN-000046,Scholarship,Q2 2026,27,25,92.6
BEN-000046,Scholarship,Q3 2026,22,8,36.4
BEN-000047,Scholarship,Q1 2025,26,26,100.0
BEN-000047,Scholarship,Q2 2025,27,19,70.4
BEN-000047,Scholarship,Q3 2025,27,22,81.5
BEN-000047,Scholarship,Q4 2025,25,24,96.0
BEN-000049,Scholarship,Q4 2025,28,24,85.7
BEN-000049,Scholarship,Q1 2026,25,16,64.0
BEN-000049,Scholarship,Q2 2026,27,22,81.5
BEN-000049,Scholarship,Q3 2026,26,14,53.8
BEN-000051,Scholarship,Q2 2025,26,26,100.0
BEN-000051,Scholarship,Q3 2025,26,18,69.2
BEN-000051,Scholarship,Q4 2025,20,18,90.0
BEN-000051,Scholarship,Q1 2026,24,22,91.7
BEN-000051,Scholarship,Q2 2026,23,12,52.2
BEN-000052,Scholarship,Q1 2026,28,16,57.1
BEN-000052,Scholarship,Q2 2026,21,20,95.2
BEN-000052,Scholarship,Q3 2026,18,9,50.0
BEN-000053,Scholarship,Q2 2026,18,9,50.0
BEN-000053,Scholarship,Q3 2026,21,9,42.9
BEN-000056,Scholarship,Q2 2025,26,23,88.5
BEN-000056,Scholarship,Q3 2025,27,21,77.8
BEN-000056,Scholarship,Q4 2025,19,17,89.5
BEN-000056,Scholarship,Q1 2026,22,17,77.3
BEN-000062,Scholarship,Q1 2026,19,18,94.7
BEN-000062,Scholarship,Q2 2026,27,23,85.2
BEN-000062,Scholarship,Q3 2026,27,20,74.1
BEN-000067,Scholarship,Q1 2026,21,16,76.2
BEN-000067,Scholarship,Q2 2026,26,14,53.8
BEN-000067,Scholarship,Q3 2026,20,8,40.0
BEN-000068,Scholarship,Q1 2025,23,19,82.6
BEN-000068,Scholarship,Q2 2025,28,27,96.4
BEN-000068,Scholarship,Q3 2025,24,22,91.7
BEN-000068,Scholarship,Q4 2025,25,22,88.0
BEN-000069,Scholarship,Q3 2026,22,11,50.0
BEN-000070,Scholarship,Q3 2026,27,12,44.4
BEN-000073,Scholarship,Q3 2026,26,15,57.7
BEN-000076,Scholarship,Q1 2026,26,21,80.8
BEN-000076,Scholarship,Q2 2026,22,12,54.5
BEN-000076,Scholarship,Q3 2026,20,9,45.0
BEN-000078,Scholarship,Q3 2025,19,19,100.0
BEN-000078,Scholarship,Q4 2025,26,23,88.5
BEN-000078,Scholarship,Q1 2026,22,22,100.0
BEN-000078,Scholarship,Q2 2026,28,24,85.7
BEN-000078,Scholarship,Q3 2026,26,22,84.6
BEN-000079,Scholarship,Q3 2025,22,21,95.5
BEN-000079,Scholarship,Q4 2025,24,20,83.3
BEN-000079,Scholarship,Q1 2026,24,17,70.8
BEN-000079,Scholarship,Q2 2026,27,19,70.4
BEN-000085,Scholarship,Q2 2026,27,14,51.9
BEN-000085,Scholarship,Q3 2026,21,11,52.4
BEN-000086,Scholarship,Q3 2026,19,10,52.6
BEN-000088,Scholarship,Q1 2025,21,20,95.2
BEN-000088,Scholarship,Q2 2025,23,20,87.0
BEN-000088,Scholarship,Q3 2025,27,25,92.6
BEN-000089,Scholarship,Q3 2025,27,21,77.8
BEN-000089,Scholarship,Q4 2025,21,17,81.0
BEN-000089,Scholarship,Q1 2026,22,18,81.8
BEN-000090,Scholarship,Q1 2026,26,15,57.7
BEN-000090,Scholarship,Q2 2026,24,17,70.8
BEN-000090,Scholarship,Q3 2026,22,9,40.9
BEN-000091,Scholarship,Q3 2026,23,7,30.4
BEN-000094,Scholarship,Q3 2026,19,8,42.1
BEN-000098,Scholarship,Q2 2025,24,20,83.3
BEN-000098,Scholarship,Q3 2025,21,16,76.2
BEN-000098,Scholarship,Q4 2025,19,6,31.6
BEN-000101,Scholarship,Q3 2026,19,7,36.8
BEN-000108,Scholarship,Q4 2025,22,19,86.4
BEN-000108,Scholarship,Q1 2026,22,16,72.7
BEN-000108,Scholarship,Q2 2026,24,21,87.5
BEN-000111,Scholarship,Q4 2025,26,24,92.3
BEN-000111,Scholarship,Q1 2026,26,19,73.1
BEN-000111,Scholarship,Q2 2026,24,21,87.5
BEN-000112,Scholarship,Q3 2026,23,11,47.8
BEN-000113,Scholarship,Q2 2026,18,14,77.8
BEN-000113,Scholarship,Q3 2026,25,11,44.0
BEN-000114,Scholarship,Q1 2025,19,16,84.2
BEN-000114,Scholarship,Q2 2025,28,26,92.9
BEN-000114,Scholarship,Q3 2025,27,22,81.5
BEN-000114,Scholarship,Q4 2025,25,21,84.0
BEN-000114,Scholarship,Q1 2026,20,17,85.0
BEN-000119,Scholarship,Q3 2025,24,19,79.2
BEN-000119,Scholarship,Q4 2025,18,16,88.9
BEN-000119,Scholarship,Q1 2026,27,21,77.8
BEN-000119,Scholarship,Q2 2026,20,15,75.0
BEN-000120,Scholarship,Q2 2026,19,11,57.9
BEN-000120,Scholarship,Q3 2026,26,13,50.0
BEN-000123,Scholarship,Q4 2025,26,22,84.6
BEN-000123,Scholarship,Q1 2026,28,22,78.6
BEN-000123,Scholarship,Q2 2026,22,19,86.4
BEN-000128,Scholarship,Q1 2025,21,18,85.7
BEN-000128,Scholarship,Q2 2025,19,19,100.0
BEN-000128,Scholarship,Q3 2025,26,20,76.9
BEN-000128,Scholarship,Q4 2025,27,25,92.6
BEN-000128,Scholarship,Q1 2026,20,15,75.0
BEN-000132,Scholarship,Q2 2025,23,16,69.6
BEN-000132,Scholarship,Q3 2025,25,25,100.0
BEN-000132,Scholarship,Q4 2025,21,19,90.5
BEN-000132,Scholarship,Q1 2026,21,15,71.4
BEN-000134,Scholarship,Q4 2025,25,23,92.0
BEN-000134,Scholarship,Q1 2026,18,14,77.8
BEN-000134,Scholarship,Q2 2026,24,21,87.5
BEN-000137,Scholarship,Q3 2026,18,6,33.3
BEN-000139,Scholarship,Q3 2026,24,8,33.3
BEN-000146,Scholarship,Q3 2026,20,9,45.0
BEN-000149,Scholarship,Q2 2026,24,14,58.3
BEN-000149,Scholarship,Q3 2026,21,7,33.3
BEN-000150,Scholarship,Q2 2026,22,12,54.5
BEN-000150,Scholarship,Q3 2026,19,8,42.1
BEN-000153,Scholarship,Q1 2026,23,17,73.9
BEN-000153,Scholarship,Q2 2026,20,18,90.0
BEN-000153,Scholarship,Q3 2026,22,21,95.5
BEN-000156,Scholarship,Q3 2025,24,19,79.2
BEN-000156,Scholarship,Q4 2025,23,21,91.3
BEN-000156,Scholarship,Q1 2026,27,20,74.1
BEN-000156,Scholarship,Q2 2026,20,16,80.0
BEN-000157,Scholarship,Q3 2026,20,9,45.0
BEN-000158,Scholarship,Q4 2025,27,24,88.9
BEN-000158,Scholarship,Q1 2026,25,16,64.0
BEN-000158,Scholarship,Q2 2026,22,12,54.5
BEN-000158,Scholarship,Q3 2026,19,7,36.8
BEN-000161,Scholarship,Q4 2025,22,21,95.5
BEN-000161,Scholarship,Q1 2026,24,19,79.2
BEN-000161,Scholarship,Q2 2026,28,25,89.3
BEN-000161,Scholarship,Q3 2026,20,10,50.0
BEN-000162,Scholarship,Q3 2026,26,12,46.2
BEN-000163,Scholarship,Q2 2026,25,23,92.0
BEN-000163,Scholarship,Q3 2026,24,8,33.3
BEN-000165,Scholarship,Q1 2025,21,18,85.7
BEN-000165,Scholarship,Q2 2025,27,20,74.1
BEN-000165,Scholarship,Q3 2025,22,20,90.9
BEN-000165,Scholarship,Q4 2025,28,28,100.0
BEN-000165,Scholarship,Q1 2026,25,23,92.0
BEN-000170,Scholarship,Q3 2026,19,10,52.6
BEN-000172,Scholarship,Q3 2026,22,8,36.4
BEN-000175,Scholarship,Q4 2025,19,16,84.2
BEN-000175,Scholarship,Q1 2026,25,23,92.0
BEN-000175,Scholarship,Q2 2026,23,19,82.6
BEN-000176,Scholarship,Q2 2026,20,12,60.0
BEN-000176,Scholarship,Q3 2026,28,13,46.4
BEN-000177,Scholarship,Q3 2025,20,16,80.0
BEN-000177,Scholarship,Q4 2025,20,17,85.0
BEN-000177,Scholarship,Q1 2026,26,19,73.1
BEN-000177,Scholarship,Q2 2026,19,13,68.4
BEN-000181,Scholarship,Q1 2026,26,22,84.6
BEN-000181,Scholarship,Q2 2026,18,13,72.2
BEN-000181,Scholarship,Q3 2026,26,24,92.3
BEN-000188,Scholarship,Q4 2025,23,16,69.6
BEN-000188,Scholarship,Q1 2026,24,18,75.0
BEN-000188,Scholarship,Q2 2026,23,17,73.9
BEN-000188,Scholarship,Q3 2026,20,16,80.0
BEN-000190,Scholarship,Q2 2025,23,14,60.9
BEN-000190,Scholarship,Q3 2025,26,16,61.5
BEN-000190,Scholarship,Q4 2025,20,19,95.0
BEN-000190,Scholarship,Q1 2026,22,10,45.5
BEN-000191,Scholarship,Q3 2026,20,9,45.0
BEN-000194,Scholarship,Q4 2025,18,18,100.0
BEN-000194,Scholarship,Q1 2026,24,24,100.0
BEN-000194,Scholarship,Q2 2026,21,18,85.7
BEN-000195,Scholarship,Q1 2026,23,21,91.3
BEN-000195,Scholarship,Q2 2026,19,16,84.2
BEN-000195,Scholarship,Q3 2026,27,27,100.0
