beneficiary_id,program,reporting_period,outcome_type,outcome_status,employment_status,completion_status
BEN-000011,Scholarship,Q1 2025,Employment,active,Employed,Completed
BEN-000023,Scholarship,Q2 2025,Employment,active,Self-Employed,Completed
BEN-000026,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-000072,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-000081,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000084,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000099,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000108,Scholarship,Q1 2025,Community Impact,not_achieved,Unemployed,Completed
BEN-000112,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000121,Scholarship,Q4 2025,Community Impact,achieved,Unemployed,Completed
BEN-000135,Scholarship,Q3 2025,Education,active,Unemployed,Completed
BEN-000136,Scholarship,Q1 2026,Education,active,Employed,Completed
BEN-000144,Scholarship,Q4 2025,Employment,active,Employed,Completed
BEN-000148,Scholarship,Q2 2025,Employment,active,Self-Employed,Completed
BEN-000168,Scholarship,Q1 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-000179,Scholarship,Q4 2025,Community Impact,not_achieved,Employed,Completed
BEN-000184,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-000191,Scholarship,Q3 2025,Employment,active,Employed,Completed
BEN-000193,Scholarship,Q4 2025,Entrepreneurship,active,Unemployed,Completed
BEN-000200,Scholarship,Q2 2025,Education,achieved,Unemployed,Completed
BEN-000209,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-000221,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000242,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-000250,Scholarship,Q3 2025,Employment,not_achieved,Unemployed,Completed
BEN-000264,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-000277,Scholarship,Q1 2025,Community Impact,active,Unemployed,Completed
BEN-000288,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000289,Scholarship,Q1 2025,Education,achieved,In Training,Completed
BEN-000306,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000352,Scholarship,Q2 2025,Employment,active,Unemployed,Completed
BEN-000360,Scholarship,Q4 2025,Community Impact,achieved,Self-Employed,Completed
BEN-000365,Scholarship,Q2 2025,Employment,not_achieved,Unemployed,Completed
