beneficiary_id,program,enrollment_date,reporting_period,status,education_level,academic_year,institution,activity,sessions_attended,sessions_expected,participation_rate,course,training_center,training_provider,certification_status,employment_status,skills_acquired
BEN-000010,Scholarship,2025-12-19,Q4 2025,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000012,Scholarship,2026-03-23,Q1 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-000014,Scholarship,2026-07-28,Q3 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000015,Scholarship,2025-11-07,Q4 2025,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000018,Scholarship,2026-05-10,Q2 2026,active,Diploma,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000031,Scholarship,2026-03-06,Q1 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-000032,Scholarship,2026-04-21,Q2 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-000038,Scholarship,2026-09-03,Q3 2026,active,Bachelor,2026/2027,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000042,Scholarship,2026-07-27,Q3 2026,active,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000045,Scholarship,2026-02-26,Q1 2026,active,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000046,Scholarship,2026-06-09,Q2 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000047,Scholarship,2025-01-12,Q1 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-000049,Scholarship,2025-11-15,Q4 2025,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000051,Scholarship,2025-04-05,Q2 2025,dropped_out,Master,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-000052,Scholarship,2026-03-11,Q1 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000053,Scholarship,2026-04-10,Q2 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000056,Scholarship,2025-05-26,Q2 2025,completed,Bachelor,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000062,Scholarship,2026-01-12,Q1 2026,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000067,Scholarship,2026-03-15,Q1 2026,active,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000068,Scholarship,2025-01-12,Q1 2025,completed,Master,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000069,Scholarship,2026-07-04,Q3 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000070,Scholarship,2026-08-16,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000073,Scholarship,2026-07-30,Q3 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000076,Scholarship,2026-03-04,Q1 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000078,Scholarship,2025-07-08,Q3 2025,completed,Diploma,2024/2025,Strathmore University,,,,,,,,,,
BEN-000079,Scholarship,2025-08-23,Q3 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000085,Scholarship,2026-04-29,Q2 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000086,Scholarship,2026-08-15,Q3 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000088,Scholarship,2025-03-20,Q1 2025,completed,Bachelor,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000089,Scholarship,2025-08-08,Q3 2025,completed,Master,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000090,Scholarship,2026-01-31,Q1 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-000091,Scholarship,2026-09-18,Q3 2026,active,Bachelor,2026/2027,Moi University,,,,,,,,,,
BEN-000094,Scholarship,2026-07-01,Q3 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000098,Scholarship,2025-04-28,Q2 2025,dropped_out,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000101,Scholarship,2026-09-05,Q3 2026,active,Bachelor,2026/2027,Kenyatta University,,,,,,,,,,
BEN-000108,Scholarship,2025-11-01,Q4 2025,completed,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000111,Scholarship,2025-11-07,Q4 2025,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000112,Scholarship,2026-07-21,Q3 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-000113,Scholarship,2026-04-26,Q2 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000114,Scholarship,2025-03-06,Q1 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-000119,Scholarship,2025-08-18,Q3 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-000120,Scholarship,2026-06-04,Q2 2026,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-000123,Scholarship,2025-11-13,Q4 2025,completed,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-000128,Scholarship,2025-02-13,Q1 2025,completed,Bachelor,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000132,Scholarship,2025-04-16,Q2 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000134,Scholarship,2025-11-14,Q4 2025,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000137,Scholarship,2026-08-09,Q3 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000139,Scholarship,2026-08-17,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000146,Scholarship,2026-09-06,Q3 2026,active,Bachelor,2026/2027,Strathmore University,,,,,,,,,,
BEN-000149,Scholarship,2026-06-20,Q2 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000150,Scholarship,2026-04-01,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000153,Scholarship,2026-03-24,Q1 2026,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000156,Scholarship,2025-09-26,Q3 2025,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000157,Scholarship,2026-09-11,Q3 2026,active,Bachelor,2026/2027,Daystar University,,,,,,,,,,
BEN-000158,Scholarship,2025-12-03,Q4 2025,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000161,Scholarship,2025-11-25,Q4 2025,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000162,Scholarship,2026-08-02,Q3 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000163,Scholarship,2026-04-24,Q2 2026,active,Diploma,2025/2026,Maseno University,,,,,,,,,,
BEN-000165,Scholarship,2025-01-18,Q1 2025,completed,Bachelor,2024/2025,University of Nairobi,,,,,,,,,,
BEN-000170,Scholarship,2026-07-26,Q3 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000172,Scholarship,2026-08-22,Q3 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000175,Scholarship,2025-11-02,Q4 2025,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000176,Scholarship,2026-05-13,Q2 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000177,Scholarship,2025-07-30,Q3 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-000181,Scholarship,2026-03-03,Q1 2026,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000188,Scholarship,2025-10-30,Q4 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000190,Scholarship,2025-05-31,Q2 2025,dropped_out,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-000191,Scholarship,2026-09-12,Q3 2026,active,Diploma,2026/2027,Strathmore University,,,,,,,,,,
BEN-000194,Scholarship,2025-10-06,Q4 2025,completed,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-000195,Scholarship,2026-01-03,Q1 2026,completed,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000202,Scholarship,2026-08-21,Q3 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000205,Scholarship,2025-03-30,Q1 2025,completed,Master,2024/2025,Strathmore University,,,,,,,,,,
BEN-000216,Scholarship,2025-04-04,Q2 2025,completed,Diploma,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000217,Scholarship,2026-09-24,Q3 2026,active,Bachelor,2026/2027,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000219,Scholarship,2026-05-16,Q2 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000220,Scholarship,2026-06-01,Q2 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000223,Scholarship,2026-04-19,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000224,Scholarship,2025-11-23,Q4 2025,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000237,Scholarship,2026-05-29,Q2 2026,active,Diploma,2025/2026,Maseno University,,,,,,,,,,
BEN-000246,Scholarship,2025-08-06,Q3 2025,completed,Bachelor,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000253,Scholarship,2026-05-14,Q2 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-000254,Scholarship,2026-01-31,Q1 2026,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000257,Scholarship,2025-10-14,Q4 2025,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000258,Scholarship,2025-05-24,Q2 2025,completed,Diploma,2024/2025,Moi University,,,,,,,,,,
BEN-000259,Scholarship,2025-09-29,Q3 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000267,Scholarship,2026-01-30,Q1 2026,completed,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000275,Scholarship,2026-08-05,Q3 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-000279,Scholarship,2026-03-21,Q1 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000281,Scholarship,2026-08-16,Q3 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000284,Scholarship,2026-03-27,Q1 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000285,Scholarship,2025-03-20,Q1 2025,dropped_out,Diploma,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000289,Scholarship,2025-09-26,Q3 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000291,Scholarship,2026-04-17,Q2 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000292,Scholarship,2025-04-01,Q2 2025,dropped_out,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000295,Scholarship,2025-01-02,Q1 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000299,Scholarship,2026-09-21,Q3 2026,active,Master,2026/2027,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000300,Scholarship,2025-08-17,Q3 2025,dropped_out,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-000307,Scholarship,2026-08-12,Q3 2026,active,Master,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000311,Scholarship,2026-01-19,Q1 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000314,Scholarship,2025-06-09,Q2 2025,dropped_out,Master,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000315,Scholarship,2026-07-13,Q3 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000317,Scholarship,2025-07-26,Q3 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000318,Scholarship,2025-09-12,Q3 2025,completed,Master,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000322,Scholarship,2025-12-18,Q4 2025,dropped_out,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000329,Scholarship,2025-12-20,Q4 2025,completed,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-000334,Scholarship,2025-11-12,Q4 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000336,Scholarship,2026-01-27,Q1 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000340,Scholarship,2026-08-16,Q3 2026,active,Diploma,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000341,Scholarship,2025-07-04,Q3 2025,dropped_out,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000343,Scholarship,2026-03-12,Q1 2026,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
